0,1,2,3
10.144.330/0001-04,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM INDIGENA ANUMA",AM,
03.201.484/0001-25,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM INDIGENA GAP N",AM,
07.548.128/0001-33,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM INDIGENA KARAW",AM,
08.976.621/0001-17,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM INDIGENA MUSUE",AM,
08.992.253/0001-09,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM INDIGENA MYPYN",AM,
06.297.639/0001-67,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM JACINTO SOARES",AM,
01.982.757/0001-90,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM JANDIRA MC COMB",AM,
06.310.517/0001-63,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM JOANA QUINTINO",AM,
03.201.586/0001-40,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM JOAO CIRILO DE",AM,
08.976.627/0001-94,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM JOAO FERREIRA",AM,
06.297.668/0001-29,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM LIVRO ABERTO",AM,
06.348.034/0001-58,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM LUZ DE VERDADE",AM,
08.976.723/0001-32,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM MANOEL MICHILE",AM,
07.507.987/0001-84,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM MARIA MADALENA",AM,
03.201.158/0001-18,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM MARIO DE ALMEI",AM,
06.349.254/0001-04,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM MILTON BELIZAR",AM,
03.201.757/0001-31,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM PROF JOAO LEIT",AM,
07.513.314/0001-37,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM RAUL ALVES BAR",AM,
03.201.927/0001-88,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM RURAL EMILIANO",AM,
01.982.752/0001-68,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM SALUM DE ALMEI",AM,
07.509.895/0001-33,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM SAO FRANCISCO",AM,
08.976.750/0001-05,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM SIDNEY RICARDO",AM,
06.330.038/0001-09,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM TURMA DA MONICA",AM,
03.253.634/0001-44,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA APARICIO D",AM,
03.201.869/0001-92,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA BOA ESPERA",AM,
03.201.931/0001-46,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA CARLOS JOS",AM,
03.201.550/0001-67,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA CESAR AUGU",AM,
03.201.853/0001-80,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA EDILSON RO",AM,
03.201.681/0001-44,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA EDMUNDO AI",AM,
03.201.897/0001-00,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA ENEIAS DIA",AM,
03.198.787/0001-36,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA HIGINA BON",AM,
03.198.808/0001-13,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA JOAO GABRI",AM,
03.201.458/0001-05,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA JULIAO DA",AM,
11.126.329/0001-10,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA JURACEMA L",AM,
03.201.232/0001-04,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA PADRE LEAO",AM,
03.201.594/0001-97,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA PE DEMETRI",AM,
03.198.894/0001-64,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA PRIMO MICH",AM,
03.201.858/0001-02,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA RAIMUNDA D",AM,
03.201.572/0001-27,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA RAIMUNDO W",AM,
03.198.800/0001-57,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA SAO FRANCI",AM,
03.201.781/0001-70,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA SAO SEBAST",AM,
03.198.840/0001-07,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA SEN JOAO B",AM,
03.253.600/0001-50,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA SENA EUNIC",AM,
03.201.920/0001-66,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA SERGIO MAZ",AM,
03.198.837/0001-85,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA TORQUATO B",AM,
03.253.627/0001-42,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DAS ESC MUNICIPAIS C",AM,
03.201.408/0001-10,"ASSOC DE PAIS, MESTRES E COMUNITARIOS EM CAROLINO DIAS DOS",AM,
03.198.875/0001-38,"ASSOC DE PAIS, MESTRES E COMUNITARIOS/APMC DA EM JULIO AUG",AM,
03.201.656/0001-60,"ASSOC DOS PAIS, MESTRES E COMUNITARIOS DA ESCOLA SAO RAIMU",AM,
44.695.078/0001-43,ASSOC DE PAIS MESTRES E COMUNITARIOS DA CRECHE MUN RAIMUN,AM,
03.198.904/0001-61,ASSOC DE PAIS MESTRES E COMUNITARIOS DA EM FRANCISCO LOPE,AM,
03.201.913/0001-64,ASSOC DE PAIS MESTRES E COMUNITARIOS DA ESCOLA JOSE FRANC,AM,
07.509.887/0001-97,"ASSOCIACAO DE PAIS, MESTRES E COMUNITARIOS DA EM NOVA VIDA",AM,
34.495.952/0001-45,CONS ESCOLAR DA EE DE TEMPO INTEGRAL WALTON RODRIGUES BIZAN,AM,
01.983.189/0001-42,CONS ESCOLAR DO CENTRO EDUCACIONAL BATISTA EMANUEL DE MAUES,AM,
01.744.182/0001-78,CONSELHO ESCOLAR DA EE CLOVIS PRADO DE NEGREIROS,AM,
56.212.675/0001-59,CONSELHO ESCOLAR DA EM ARI FELICIANO DOS SANTOS,AM,
01.983.195/0001-08,CONSELHO ESCOLAR DA EM FRANCISCO CANINDE CAVALCANTE,AM,
03.201.924/0001-44,CONSELHO ESCOLAR DA EM MARIA DA CONCEICAO MEDEIROS DA ROCHA,AM,
01.982.755/0001-00,CONSELHO ESCOLAR DA EM NOSSA SENHORA DA CONCEICAO,AM,
03.201.650/0001-93,CONSELHO ESCOLAR DA EM PROF EDMUNDO XAVIER DE ALBUQUERQUE,AM,
01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,AM,
22.066.111/0001-33,CONSELHO ESCOLAR DA ESCOLA ESTADUAL JOAO PAULO II,AM,
01.745.444/0001-19,CONSELHO ESCOLAR DA ESCOLA ESTADUAL MIRIAM SAKIYAMA,AM,
02.916.446/0001-96,CONSELHO ESCOLAR DA ESCOLA ESTADUAL SAO PEDRO,AM,
03.201.884/0001-30,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL CLARICE PARINTINS,AM,
03.201.221/0001-16,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL INDIGENA WASIRI,AM,
03.201.705/0001-65,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL NOEME LEDA LEVY,AM,
03.201.313/0001-04,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL SENADOR JOAO BOSCO,AM,
03.198.867/0001-91,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL SENADOR JOAO BOSCO,AM,
04.282.869/0001-27,PREF MUN DE MAUES,AM,
LISTA DE ENTIDADES ENCONTRADAS,LISTA DE ENTIDADES ENCONTRADAS,LISTA DE ENTIDADES ENCONTRADAS,LISTA DE ENTIDADES ENCONTRADAS
Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.,Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.,Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.,Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.
CNPJ,Razão Social,UF,
02.345.514/0001-04,ASSOCIACAO PESTALOZZI DE BOA VISTA DO RAMOS,AM,
30.813.531/0001-64,CONS ESCOLAR DAS ESC MUN BOM PASTOR DO GUAJARA E SAO JOSE D,AM,
30.818.196/0001-97,CONS ESCOLAR DAS ESC MUN CORDULINA PEREIRA E GOV GILBERTO M,AM,
30.819.295/0001-93,"CONS ESCOLAR DAS ESC MUN JUCUNDINO DE ASSIS VIEIRA, JOSE VE",AM,
30.813.577/0001-83,"CONS ESCOLAR DAS ESC MUN ORNELLES LAVAREDA, PAULO CORDEIRO,",AM,
30.818.266/0001-07,CONS ESCOLAR DAS ESC MUNICIPAIS NOSSA SRA DA CONCEICAO DO R,AM,
30.813.280/0001-18,CONSELHO ESCOLAR DA EM CRECHE CASULO MENINO JESUS,AM,
30.818.153/0001-01,CONSELHO ESCOLAR DA EM GOVERNADOR DANILO DE MATOS AREOSA,AM,
03.198.748/0001-39,CONSELHO ESCOLAR DA EM PRESIDENTE TANCREDO NEVES,AM,
02.838.055/0001-09,CONSELHO ESCOLAR DA ESCOLA ESTADUAL SENADOR JOSE ESTEVES,AM,
30.818.208/0001-83,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL AUGUSTO TEIXEIRA,AM,
30.808.044/0001-03,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL FORTUNATO VIEIRA,AM,
03.198.727/0001-13,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL RUFINA ESTEVES,AM,
30.813.484/0001-59,CONSELHO ESCOLAR DAS ESC MUN BOM JESUS I E SAO JOSE DO CUCUI,AM,
30.813.557/0001-02,CONSELHO ESCOLAR DAS ESC MUN CRISTO REI E SOCORRO PEREIRA I,AM,
04.629.283/0001-96,PREF MUN DE BOA VISTA DO RAMOS,AM,
